Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
R,Jennifer L White,No response,,,,
D,Teresa S. Pierce,No response,,CANDIDATES,,
,,,,R,Christina M. Ouellette,No response
Maine Senate - District 26,,,,D,James Dill,Answers
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 27,,
R,Gary E Plummer,No response,,,,
D,Timothy Nangle,No response,,CANDIDATES,,
,,,,R,Gary A. Drinkwater,No response
Maine Senate - District 27,,,,D,Peter Crockett,Answers
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 28,,
R,Jeffrey Tounge,No response,,,,
D,Jill Christine Duson,No response,,CANDIDATES,,
,,,,R,Irene A. Gifford,No response
Maine Senate - District 28,,,,D,Natalie DiPentino,Answers
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 29,,
D,Benjamin Chipman,No response,,,,
R,Susan M Abercrombie,No response,,CANDIDATES,,
,,,,R,Kathy Irene Javner,No response
Maine Senate - District 29,,,,D,Laurie York,No response
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 30,,
D,Anne M Carney,No response,,,,
R,John Wesley Lewis,No response,,CANDIDATES,,
,,,,R,James Lee White,No response
Maine Senate - District 30,,,,D,"W. Louis Sidell, Jr.",Answers
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 31,,
D,Stacy Fielding Brenner,No response,,,,
R,Timothy John Thorsen,No response,,CANDIDATES,,
,,,,R,Chad Richard Perkins,No response
Maine Senate - District 31,,,,D,Richard A. Evans,Answers
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 32,,
D,Donna Bailey,Answers,,,,
R,Sharri MacDonald,No response,,CANDIDATES,,
,,,,R,Steven D Foster,No response
Maine Senate - District 32,,,,,,
,,,,Maine House of Representatives - District 33,,
CANDIDATES,,,,,,
R,David Corbett,No response,,CANDIDATES,,
D,Henry L Ingwersen,Answers,,R,Danny E. Costain,No response
,,,,D,Donovan E. Todd III,No response
Maine Senate - District 33,,,,,,
,,,,Maine House of Representatives - District 34,,
CANDIDATES,,,,,,
D,Kendra A Williams,Answers,,CANDIDATES,,
R,Matthew A Harrington,No response,,R,Abigail W. Griffin,No response
,,,,D,Frank Lawrence Roma,Answers
Maine Senate - District 34,,,,U,Joshua James Pietrowicz,No response
,,,,,,
CANDIDATES,,,,Maine House of Representatives - District 35,,
R,Bradley Scott Ducharme,No response,,,,
D,Joseph E. Rafferty Jr.,No response,,CANDIDATES,,
,,,,R,James Ernest Thorne,No response
Maine Senate - District 35,,,,,,
,,,,Maine House of Representatives - District 36,,
CANDIDATES,,,,,,
R,Julie N Rakic,No response,,CANDIDATES,,
D,Mark Lawrence,No response,,R,David Haggan,No response
,,,,D,Kristen Card,Answers
,,,,,,
,,,,Maine House of Representatives - District 37,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Margaret D. English-Flanagan,Answers
,,,,R,Reagan LeeAnn Paul,No response
,,,,,,
,,,,Maine House of Representatives - District 38,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Benjamin C. Hymes,No response
,,,,G,Heather Elizabeth Garrold,Answers
,,,,D,Robyn M Stanicki,No response
,,,,,,
,,,,Maine House of Representatives - District 39,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Janice S. Dodge,Answers
,,,,R,Stephen J. Hemenway,No response
,,,,,,
,,,,Maine House of Representatives - District 40,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Joseph McLaughlin,Answers
,,,,D,Stanley Paige Zeigler Jr.,Answers
,,,,,,
,,,,Maine House of Representatives - District 41,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Susan Lee Butterworth,No response
,,,,D,Victoria Doudera,Answers
,,,,,,
,,,,Maine House of Representatives - District 42,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Roger Vincent Tranfaglia,No response
,,,,D,Valli D. Geiger,Answers
,,,,,,
,,,,Maine House of Representatives - District 43,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Ann Matlack,Answers
,,,,R,Heather Anne Sprague,No response
,,,,,,
,,,,Maine House of Representatives - District 44,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Crystal Lynn Robinson,No response
,,,,U,William Donohue Pluecker,Answers
,,,,,,
,,,,Maine House of Representatives - District 45,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Clinton E. Collamore Sr.,Answers
,,,,R,Lynn J Madison,No response
,,,,,,
,,,,Maine House of Representatives - District 46,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Lydia V. Crafts,Answers
,,,,R,Merle James Parise II,No response
,,,,,,
,,,,Maine House of Representatives - District 47,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Edward Polewarczyk,No response
,,,,U,Evan Goodkowsky,Answers
,,,,U,Leslie T. Fossel,Answers
,,,,,,
,,,,Maine House of Representatives - District 48,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Holly B Stover,Answers
,,,,R,Tricia Warren,No response
,,,,,,
,,,,Maine House of Representatives - District 49,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Allison L. Hepler,Answers
,,,,R,Kelly James,No response
,,,,,,
,,,,Maine House of Representatives - District 50,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Jason Edward Desjardins,No response
,,,,D,Sean C. Paulhus,No response
,,,,,,
,,,,Maine House of Representatives - District 51,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Linda Baker,Answers
,,,,D,Rebecca L. Jauch,Answers
,,,,,,
,,,,Maine House of Representatives - District 52,,
,,,,,,
,,,,CANDIDATES,,
,,,,U,Peter Anthony Lewis,No response
,,,,D,Sally Jeane Cluchey,Answers
,,,,,,
,,,,Maine House of Representatives - District 53,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Jane L. Beckwith,Answers
,,,,R,Michael H Lemelin,No response
,,,,,,
,,,,Maine House of Representatives - District 54,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Charles J. Bussell,No response
,,,,D,Karen L. Montell,Answers
,,,,U,Nicolas Delli Paoli,Answers
,,,,,,
,,,,Maine House of Representatives - District 55,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Dan Shagoury,Answers
,,,,R,Phillip Ryan Wiseman,No response
,,,,,,
,,,,Maine House of Representatives - District 56,,
,,,,,,
,,,,CANDIDATES,,
,,,,U,Kent Ackley,Answers
,,,,R,Randall Adam Greenwood,No response
,,,,,,
,,,,Maine House of Representatives - District 57,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Corey Wilson,No response
,,,,D,Tavis Rock Hasenfus,Answers
,,,,,,
,,,,Maine House of Representatives - District 58,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Daniel Jesse Newman,No response
,,,,D,Robert Smith Neal,Answers
,,,,,,
,,,,Maine House of Representatives - District 59,,
,,,,,,
,,,,CANDIDATES,,
