,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1556,Democratic,-0.9558823529411765,1.0,-0.9558823529411765,3,65,71,0,0.04411764705882353,1.0,-0.9558823529411765,An Act To Increase The Penalty For Aggravated Sex Trafficking,An Act To Increase The Penalty<br>For Aggravated Sex Trafficking,2018-03-20,128,3e566552-cc43-49ec-a473-6a9e0d5a0db9,71/0,3/65
1338,Democratic,-0.9710144927536232,1.0,-0.9710144927536232,2,67,68,0,0.028985507246376812,1.0,-0.9710144927536232,"An Act To Eliminate Insurance Rating Based On Age, Geographic Location Or Smoking History And To Reduce Rate Variability Due To Group Size","An Act To Eliminate Insurance<br>Rating Based On Age,<br>Geographic Location Or Smoking<br>History And To Reduce Rate<br>Variability Due To Group Size",2017-05-16,128,946793a8-4762-46c0-ad21-2139772aa215,68/0,2/67
1148,Democratic,-0.9705882352941176,1.0,-0.9705882352941176,2,66,67,0,0.029411764705882353,1.0,-0.9705882352941176,An Act To Facilitate The Creation Of The Maine Water Trust To Regulate And Protect Maine's Water Supply And To Ensure The Quantity And Quality Of Maine's Drinking Water,An Act To Facilitate The<br>Creation Of The Maine Water<br>Trust To Regulate And Protect<br>Maine's Water Supply And To<br>Ensure The Quantity And<br>Quality Of Maine's Drinking<br>Water,2017-06-05,128,71429c9d-de49-42fe-95e0-b3ad7d26d2a6,67/0,2/66
1696,Democratic,-0.9285714285714286,1.0,-0.9285714285714286,5,65,71,0,0.07142857142857142,1.0,-0.9285714285714286,An Act To Allow A Law Enforcement Agency That Treats A Person With Naloxone Hydrochloride To Bill That Person For That Treatment,An Act To Allow A Law<br>Enforcement Agency That Treats<br>A Person With Naloxone<br>Hydrochloride To Bill That<br>Person For That Treatment,2017-05-11,128,2ee87c62-1782-40e0-849b-9d90849d2ebe,71/0,5/65
1320,Democratic,-0.928743961352657,0.9722222222222222,-0.928743961352657,3,66,70,2,0.043478260869565216,0.9722222222222222,-0.928743961352657,"Resolve, To Establish A Task Force To Examine Agricultural Issues","Resolve, To Establish A Task<br>Force To Examine Agricultural<br>Issues",2018-05-02,128,f2c258a2-4a80-4bb4-b738-5bf12109e206,70/2,3/66
1928,Democratic,-0.928921568627451,0.9583333333333334,-0.928921568627451,2,66,69,3,0.029411764705882353,0.9583333333333334,-0.928921568627451,An Act To Allow Minors To Work In A Family Business Without Obtaining A Work Permit,An Act To Allow Minors To Work<br>In A Family Business Without<br>Obtaining A Work Permit,2018-04-18,128,03672096-2ae8-4d0d-9dfe-7d55dec49802,69/3,2/66
844,Democratic,-0.9705882352941176,1.0,-0.9705882352941176,2,66,71,0,0.029411764705882353,1.0,-0.9705882352941176,An Act To Replace The Educational Opportunity Tax Credit With The Student Loan Repayment Credit For Maine Residents,An Act To Replace The<br>Educational Opportunity Tax<br>Credit With The Student Loan<br>Repayment Credit For Maine<br>Residents,2018-04-18,128,e53f95e6-5f06-4b0f-8dde-ab73fc8e6151,71/0,2/66
898,Democratic,-0.9705882352941176,1.0,-0.9705882352941176,2,66,71,0,0.029411764705882353,1.0,-0.9705882352941176,An Act To Prohibit The Practice Of Female Genital Mutilation Of A Minor,An Act To Prohibit The<br>Practice Of Female Genital<br>Mutilation Of A Minor,2018-04-18,128,44e9461a-ce40-47c1-b9e8-9d37cc50e862,71/0,2/66
1204,Democratic,-0.9375,1.0,-0.9375,4,60,71,0,0.0625,1.0,-0.9375,An Act To Require The Completion Of Courses Of Study In Home Economics And Industrial Arts Education Prior To Graduation From High School,An Act To Require The<br>Completion Of Courses Of Study<br>In Home Economics And<br>Industrial Arts Education<br>Prior To Graduation From High<br>School,2017-06-16,128,da46c1d3-ff9e-41be-bc80-45a3574ef621,71/0,4/60
744,Democratic,-0.9375,1.0,-0.9375,1,15,15,0,0.0625,1.0,-0.9375,An Act To Remove Time And Acreage Limits For Placing Land In Trust Status Under The Maine Indian Claims Settlement,An Act To Remove Time And<br>Acreage Limits For Placing<br>Land In Trust Status Under The<br>Maine Indian Claims Settlement,2017-07-20,128,1d6c778b-5fdf-4ce8-8178-24e5045f54b2,15/0,1/15
