,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1752,Democratic,-1.0,1.0,-1.0,0,69,72,0,0.0,1.0,-1.0,An Act To Require A Person To Notify Law Enforcement Officers Of The Possession Of A Hypodermic Needle,An Act To Require A Person To<br>Notify Law Enforcement<br>Officers Of The Possession Of<br>A Hypodermic Needle,2017-06-20,128,0d5316d4-dae6-4dba-b783-2fbcbdd27e6b,72/0,0/69
874,Democratic,-0.8333333333333334,1.0,-0.8333333333333334,11,55,68,0,0.16666666666666666,1.0,-0.8333333333333334,An Act To Clarify Which Municipalities May Receive A Portion Of Day Use And Camping Fees From State Parks And Historic Sites,An Act To Clarify Which<br>Municipalities May Receive A<br>Portion Of Day Use And Camping<br>Fees From State Parks And<br>Historic Sites,2018-07-09,128,98013bae-9976-4a57-9da7-432eb9ecdc1b,68/0,11/55
790,Democratic,-0.8333333333333334,1.0,-0.8333333333333334,11,55,69,0,0.16666666666666666,1.0,-0.8333333333333334,An Act To Create A Centralized Authority To Combat Opiate Addiction In Maine,An Act To Create A Centralized<br>Authority To Combat Opiate<br>Addiction In Maine,2018-07-09,128,a26f8f07-d15e-4f56-85dd-3df7460cd4b9,69/0,11/55
1718,Democratic,-0.8333333333333334,1.0,-0.8333333333333334,11,55,68,0,0.16666666666666666,1.0,-0.8333333333333334,An Act To Amend The Laws Governing The Calculation Of Excise Tax On Automobiles,An Act To Amend The Laws<br>Governing The Calculation Of<br>Excise Tax On Automobiles,2018-03-29,128,45756ed2-35a3-497d-9443-574cf11bacc2,68/0,11/55
1386,Democratic,-0.8333333333333334,1.0,-0.8333333333333334,3,15,17,0,0.16666666666666666,1.0,-0.8333333333333334,An Act To Allow Municipalities To Adopt Bus Traffic Ordinances,An Act To Allow Municipalities<br>To Adopt Bus Traffic<br>Ordinances,2017-06-19,128,fc027965-e6f5-493d-bbd8-7fc1751dadf3,17/0,3/15
1614,Democratic,-0.8363636363636364,1.0,-0.8363636363636364,9,46,61,0,0.16363636363636364,1.0,-0.8363636363636364,An Act To Provide Funding For The Conduct Of Elections,An Act To Provide Funding For<br>The Conduct Of Elections,2018-09-13,128,f87eb048-a573-421a-bc9c-9c85b1ea3696,61/0,9/46
994,Democratic,-0.8382352941176471,1.0,-0.8382352941176471,11,57,72,0,0.16176470588235295,1.0,-0.8382352941176471,An Act To Remove The Age Penalty For State Retirees Working At State Correctional Institutions That Are Closing,An Act To Remove The Age<br>Penalty For State Retirees<br>Working At State Correctional<br>Institutions That Are Closing,2018-04-18,128,dc66b1aa-031c-4281-b057-ab4afd6493c6,72/0,11/57
1192,Democratic,-0.8405797101449275,0.9710144927536232,-0.8405797101449275,9,60,67,2,0.13043478260869565,0.9710144927536232,-0.8405797101449275,An Act To Improve Attendance At Public Elementary Schools,An Act To Improve Attendance<br>At Public Elementary Schools,2017-06-15,128,b8f24a93-5723-4843-81ff-8150b58442cd,67/2,9/60
848,Democratic,-0.8461538461538461,1.0,-0.8461538461538461,10,55,69,0,0.15384615384615385,1.0,-0.8461538461538461,An Act To Reduce Food Insecurity,An Act To Reduce Food<br>Insecurity,2017-06-05,128,ff2b8eb2-1ffc-46cc-bb28-57cbfc2b82fe,69/0,10/55
1064,Democratic,-0.8484848484848485,1.0,-0.8484848484848485,10,56,71,0,0.15151515151515152,1.0,-0.8484848484848485,"An Act To Increase Transparency In Cooperative Agreements Within The Department Of Agriculture, Conservation And Forestry","An Act To Increase<br>Transparency In Cooperative<br>Agreements Within The<br>Department Of Agriculture,<br>Conservation And Forestry",2017-06-27,128,f07a66c9-45ea-4f63-9e0e-918f973f1af9,71/0,10/56
1452,Democratic,-0.8615384615384616,1.0,-0.8615384615384616,9,56,70,0,0.13846153846153847,1.0,-0.8615384615384616,An Act To Amend The Laws Governing Retirement Benefits For Capitol Police Officers,An Act To Amend The Laws<br>Governing Retirement Benefits<br>For Capitol Police Officers,2018-03-01,128,a3b33abd-a552-4d50-b93d-f1cf82393b90,70/0,9/56
