,Name,City,Seat,Party,Polarization,Democratic agreement,Republican agreement
209,"Denno, D.",Cumberland,H-45,Democratic,-0.6240397706166563,0.9629629629629629,0.29714285714285715
181,"Theriault, T.",China,H-79,Republican,0.6244207226312798,0.23113207547169812,0.937007874015748
176,"Swallow, G.",Houlton,H-144,Republican,0.6256394625485796,0.20670391061452514,0.9217877094972067
269,"Kinney, J.",Limington,H-22,Republican,0.626910552143435,0.2238372093023256,0.9358600583090378
241,"Harvell, L.",Farmington,H-113,Republican,0.6290362790885745,0.23921568627450981,0.9606299212598425
241,"Harvell, L.",Farmington,H-89,Republican,0.6290362790885745,0.23921568627450981,0.9606299212598425
131,"Martin, R.",Sinclair,H-150,Democratic,-0.6297500539585701,0.9308005427408412,0.26358695652173914
153,"Perry, A.",Calais,H-140,Democratic,-0.6306793658947918,0.9272237196765498,0.2587601078167116
122,"Kornfield, V.",Bangor,H-125,Democratic,-0.631030773657226,0.9636015325670498,0.2783109404990403
229,"Duchesne, R.",Hudson,H-121,Democratic,-0.6311342621640486,0.9579288025889967,0.2857142857142857
261,"Spear, J.",South Thomaston,H-92,Democratic,-0.6322365370963308,0.9425287356321839,0.27089337175792505
299,"Roche, T.",Wells,H-7,Republican,0.6325449942710997,0.21830985915492956,0.8943661971830986
247,"Longstaff, T.",Waterville,H-109,Democratic,-0.6326059552213047,0.9656160458452722,0.29022988505747127
161,"Riley, C.",Jay,H-74,Democratic,-0.6326232446837079,0.963265306122449,0.2714285714285714
79,"Curtis, P.",Madison,H-111,Republican,0.6330765587955081,0.23121387283236994,0.9884393063583815
79,"Curtis, P.",Madison,H-86,Republican,0.6330765587955081,0.23121387283236994,0.9884393063583815
51,"Austin, B.",Skowhegan,H-107,Democratic,-0.6332976665461447,0.9600760456273765,0.2704761904761905
169,"Sheats, B.",Auburn,H-64,Democratic,-0.634241595887036,0.9561904761904761,0.26717557251908397
314,"Curry, C.",Waldo,S-11,Democratic,-0.6345456770248549,0.9577464788732394,0.2704626334519573
252,"Parker, J.",South Berwick,H-6,Democratic,-0.6373554796609211,0.9588235294117647,0.2743362831858407
232,"Frey, A.",Bangor,H-124,Democratic,-0.6388514410210099,0.9702970297029703,0.2847682119205298
186,"White, B.",Waterville,H-109,Democratic,-0.6390913352014297,0.9090909090909091,0.22144522144522144
205,"Moriarty, S.",Cumberland,H-108,Democratic,-0.6396520897190984,0.8985507246376812,0.2289855072463768
205,"Moriarty, S.",Cumberland,H-45,Democratic,-0.6396520897190984,0.8985507246376812,0.2289855072463768
81,"Dillingham, K.",Oxford,H-72,Republican,0.6402754153300244,0.22159887798036465,0.922752808988764
256,"Sanderson, D.",Chelsea,H-88,Republican,0.6402955624582808,0.17320261437908496,0.8852459016393442
167,"Schneck, J.",Bangor,H-126,Democratic,-0.6403837609209057,0.9606299212598425,0.26429980276134124
312,"Baldacci, J.",Penobscot,S-9,Democratic,-0.6411831078822965,0.9436619718309859,0.2553191489361702
206,"DeChant, J.",Bath,H-52,Democratic,-0.6418994086481704,0.968299711815562,0.28034682080924855
262,"Sutton, P.",Warren,H-95,Republican,0.6423083531217323,0.16857142857142857,0.8710601719197708
29,"Millett, R.",Cumberland,H-30,Democratic,-0.643673703606837,0.9765739385065886,0.27982326951399117
29,"Millett, R.",Cumberland,S-29,Democratic,-0.643673703606837,0.9765739385065886,0.27982326951399117
158,"Prescott, D.",Waterboro,H-17,Republican,0.6441423187554476,0.19970631424375918,0.9161764705882353
266,"Winsor, T.",Norway,H-71,Republican,0.6445979318773817,0.18874172185430463,0.9003322259136213
126,"Lockman, L.",Bradley,H-137,Republican,0.6455828172328396,0.16432865731462926,0.8775100401606426
19,"Guerin, S.",Penobscot,H-102,Republican,0.6457112955588469,0.24206349206349206,0.9493333333333334
19,"Guerin, S.",Penobscot,S-10,Republican,0.6457112955588469,0.24206349206349206,0.9493333333333334
260,"Sirocki, H.",Scarborough,H-28,Republican,0.645733425980955,0.16176470588235295,0.8643067846607669
62,"Bradstreet, R.",Vassalboro,H-80,Republican,0.64597625821867,0.21798365122615804,0.9440654843110505
160,"Reed, R.",Carmel,H-103,Republican,0.6461424724432657,0.1917808219178082,0.9117647058823529
156,"Pierce, T.",Falmouth,H-44,Democratic,-0.6464537437881777,0.9413333333333334,0.24833110814419226
73,"Cooper, J.",Yarmouth,H-47,Democratic,-0.6466266868717333,0.9654510556621881,0.25961538461538464
308,"Warren, S.",Scarborough,H-29,Democratic/Independent,-0.6483451975455123,0.8779527559055118,0.19291338582677164
114,"Hymanson, P.",York,H-4,Democratic,-0.6492486231751059,0.9329829172141918,0.24078947368421053
239,"Hamann, S.",South Portland,H-32,Democratic,-0.6518393149921816,0.9538461538461539,0.25925925925925924
149,"Ordway, L.",Standish,H-23,Republican,0.6518666353493752,0.2107329842931937,0.9423328964613368
118,"Jorgensen, E.",Portland,H-41,Democratic,-0.6522098102008697,0.9662698412698413,0.2504970178926441
121,"Kinney, M.",Knox,H-99,Republican,0.6522862752449768,0.21458625525946703,0.9410112359550562
107,"Hepler, A.",Woolwich,H-53,Democratic,-0.652550212316801,0.9110576923076923,0.21153846153846154
99,"Haggan, D.",Hampden,H-101,Republican,0.653407853213763,0.2138728323699422,0.9551374819102749
132,"Martin, T.",Greene,H-57,Republican,0.6543855240349892,0.2017291066282421,0.930835734870317
132,"Martin, T.",Greene,S-25,Republican,0.6543855240349892,0.2017291066282421,0.930835734870317
154,"Perry, J.",Bangor,H-124,Democratic,-0.6553114137109549,0.9073033707865169,0.2050561797752809
197,"Millett, H.",Waterford,H-71,Republican,0.6556320937931231,0.2052505966587112,0.9307875894988067
50,"Arata, A.",New Gloucester,H-65,Republican,0.6565839577739344,0.19220779220779222,0.9246753246753247
95,"Gideon, S.",Freeport,H-48,Democratic,-0.6571317690136854,0.9816326530612245,0.25357873210633947
233,"Fuller, R.",Lewiston,H-59,Democratic,-0.6572056662103144,0.9701492537313433,0.2694610778443114
27,"Luchini, L.",Hancock,H-132,Democratic,-0.6579504545097183,0.9608391608391609,0.2559774964838256
27,"Luchini, L.",Hancock,S-7,Democratic,-0.6579504545097183,0.9608391608391609,0.2559774964838256
106,"Head, F.",Bethel,H-117,Republican,0.6587024331174248,0.21511627906976744,0.9548762736535662
127,"Lyford, P.",Eddington,H-129,Republican,0.6593154644294045,0.17896174863387979,0.9001367989056087
14,"Farrin, B.",Norridgewock,S-3,Republican,0.6597480195175854,0.23758389261744967,0.9648648648648649
155,"Pickett, R.",Dixfield,H-116,Republican,0.6598931090564636,0.20391061452513967,0.9356643356643357
112,"Hubbell, B.",Bar Harbor,H-135,Democratic,-0.660928771839732,0.9712643678160919,0.2514395393474088
36,"Sanborn, H.",Cumberland,S-28,Democratic,-0.6628012735604343,0.9601542416452442,0.24870466321243523
223,"Bates, D.",Westbrook,H-35,Democratic,-0.6632021979274617,0.9617834394904459,0.25559105431309903
56,"Bailey, D.",York,H-14,Democratic,-0.6634323476490345,0.9540372670807453,0.24094881398252185
56,"Bailey, D.",York,S-31,Democratic,-0.6634323476490345,0.9540372670807453,0.24094881398252185
