Vote key,Vote polarization,Democratic yes votes,Democratic no votes,Republican yes votes,Republican no votes,Title,Date,Session
965d1c7c-ef82-4eca-849e-d88c80f37212,-1.0,78,0,0,58,An Act To Protect Taxpayers In The Privatization Of Services And To Establish The State Procurement Review Committee,2021-06-16,130
5d566d64-ef93-4350-a3f3-bfec34513d1d,-1.0,21,0,0,12,An Act To Clarify Prepayment Requirements In Home Construction Contracts,2021-06-07,130
b1a759cd-a329-4f28-b996-8c7ee1200a72,-1.0,69,0,0,54,An Act To Provide Electronic Access To Confidential Juror Information,2022-03-31,130
ddd362f3-1d98-46d1-a9c9-943f6a27272c,-1.0,18,0,0,12,"Adjournment Order - Adjourned Until The Call Of The President Of The Senate And The Speaker Of The House, Respectively",2022-04-25,130
f1eb5bf8-cb61-4c36-8ca1-935d411f0020,-1.0,22,0,0,12,An Act To Promote The Sustainability Of Unemployment Insurance By Linking The Duration Of Benefits To The State's Average Unemployment Rate,2021-06-10,130
7085429a-1f10-49ef-89ce-5fdcc9805e7e,-1.0,22,0,0,12,An Act To Preserve Fair Housing In Maine,2021-06-10,130
68cc5e45-1df0-469f-be13-3be266ce80dd,-1.0,70,0,0,42,An Act To Provide More Options To Maine Electric Service Customers And Support Maine's Climate Goals,2022-04-07,130
06ca3742-f7f4-4cc7-94f4-2252f267c147,-1.0,22,0,0,11,An Act Regarding Collective Bargaining Negotiations By Public Employers Of Teachers,2021-05-19,130
5482386c-dd7d-409f-80e5-6a3f384f53ec,-1.0,21,0,0,13,An Act To Improve Camping Opportunities In Maine By Exempting Certain Campground Rental Fees From The Sales And Use Tax,2021-06-03,130
79a5a9e0-401e-4987-be7c-bda4cad5d31d,-1.0,22,0,0,13,"Resolve, Directing The State Board Of Education To Adopt Rules Prohibiting Teachers In Public Schools From Engaging In Political, Ideological Or Religious Advocacy In The Classroom",2021-06-08,130
e1cc7104-b3b3-477d-93b0-64c2b6caf13a,-1.0,22,0,0,11,An Act To Enact The Campus Free Speech And Free Press Act,2021-06-09,130
186bb64b-ba02-4481-8aa9-52b1c53ef811,-1.0,21,0,0,12,An Act To Include Grandparents Under Maine's Family Medical Leave Laws,2021-06-09,130
b3a385e1-cd3f-45bc-a415-7be0d08f44e2,-1.0,21,0,0,12,"An Act To Promote Equity In Policy Making By Enhancing The State's Ability To Collect, Analyze And Apply Data",2022-03-29,130
7e0cf44c-a815-4076-943d-da1ebd07fa80,-1.0,21,0,0,13,An Act To Remove A Requirement Regarding Payment Of Union Fees,2021-06-03,130
a88e7da2-4ba2-4a5c-ae14-53b40397b186,-1.0,75,0,0,53,An Act To Amend The Laws Governing Elections,2021-06-09,130
77216854-96f3-4d83-af42-1d2c60552697,-1.0,22,0,0,13,"An Act To Protect Maine Businesses, Nonprofits, Educational Institutions And Municipalities During The Covid-19 Pandemic",2021-06-16,130
658ab3e4-e1d4-4ace-9954-85bffb5b0806,-1.0,73,0,0,57,An Act To Prevent Tax Haven Abuse,2022-04-07,130
f919a598-0130-4671-9220-0ad29168eca1,-1.0,22,0,0,12,An Act Directing The Maine State Housing Authority To Create A Commission To Develop A Comprehensive Rental Registry For Multifamily Housing,2021-06-07,130
ec4dab5a-9f17-45b4-bf65-35aa4650c560,-1.0,21,0,0,13,An Act To Support Universal Health Care,2021-06-16,130
88937c54-a51b-4857-930f-646bede5938b,-1.0,21,0,0,13,An Act To Amend The Enforcement Provisions Of The Law Governing Earned Paid Leave,2022-03-22,130
