,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2626,Democratic,-0.9871794871794872,0.9871794871794872,-0.9871794871794872,0,60,77,1,0.0,0.9871794871794872,-0.9871794871794872,An Act To Require Electronic Benefits Transfer Cards To Be Printed With The Beneficiary's Photograph,An Act To Require Electronic<br>Benefits Transfer Cards To Be<br>Printed With The Beneficiary's<br>Photograph,2021-06-09,130,68354e78-ef86-4048-9caa-b8d8a8222c21,77/1,0/60
2326,Democratic,-0.9871794871794872,0.9871794871794872,-0.9871794871794872,0,61,77,1,0.0,0.9871794871794872,-0.9871794871794872,An Act To Create An Alternate Minimum Wage Applicable To Student Employees Who Are Under 20 Years Of Age And To Employees Who Are Under 18 Years Of Age,An Act To Create An Alternate<br>Minimum Wage Applicable To<br>Student Employees Who Are<br>Under 20 Years Of Age And To<br>Employees Who Are Under 18<br>Years Of Age,2021-05-19,130,765267cc-4d53-47fb-a380-d81f770ddca2,77/1,0/61
2636,Democratic,-0.9864864864864865,0.9864864864864865,-0.9864864864864865,0,59,73,1,0.0,0.9864864864864865,-0.9864864864864865,"Resolve, To Study And Recommend Improvements To Maine's Dam Safety","Resolve, To Study And<br>Recommend Improvements To<br>Maine's Dam Safety",2021-06-08,130,a427eb96-1c91-48a3-8a06-ccd68517a6bb,73/1,0/59
2372,Democratic,-0.9811320754716981,1.0,-0.9811320754716981,1,52,75,0,0.018867924528301886,1.0,-0.9811320754716981,An Act To Ban Biological Males From Participating In Women's Sports,An Act To Ban Biological Males<br>From Participating In Women's<br>Sports,2021-06-17,130,40b12f22-ed5b-42e3-bce7-e9426c3af540,75/0,1/52
2242,Democratic,-0.9818181818181818,1.0,-0.9818181818181818,1,54,73,0,0.01818181818181818,1.0,-0.9818181818181818,An Act To Protect Against Discrimination By Public Entities,An Act To Protect Against<br>Discrimination By Public<br>Entities,2022-04-19,130,90c9c243-7797-477e-ba05-836279a623b4,73/0,1/54
2110,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,An Act To Provide Consistency Regarding Persons Authorized To Conduct Examinations For Emergency Involuntary Commitment And Post-Admission Examinations,An Act To Provide Consistency<br>Regarding Persons Authorized<br>To Conduct Examinations For<br>Emergency Involuntary<br>Commitment And Post-Admission<br>Examinations,2021-06-15,130,7c94509b-d24e-4f37-986e-6429593b7196,21/0,0/13
2862,Democratic,-0.9855072463768116,0.9855072463768116,-0.9855072463768116,0,50,68,1,0.0,0.9855072463768116,-0.9855072463768116,An Act To Amend The Laws Governing Employer Recovery Of Overcompensation Paid To An Employee,An Act To Amend The Laws<br>Governing Employer Recovery Of<br>Overcompensation Paid To An<br>Employee,2021-07-01,130,8c7ad4e5-5480-422d-90a4-42ff9f1b786d,68/1,0/50
2436,Democratic,-0.9855072463768116,0.9855072463768116,-0.9855072463768116,0,54,68,1,0.0,0.9855072463768116,-0.9855072463768116,An Act To Amend The Sales Tax Exemption For Nonprofit Housing Development Organizations,An Act To Amend The Sales Tax<br>Exemption For Nonprofit<br>Housing Development<br>Organizations,2022-03-31,130,6770c36b-01c3-404b-87c5-7373d4755599,68/1,0/54
2668,Democratic,-1.0,1.0,-1.0,0,13,21,0,0.0,1.0,-1.0,"Resolve, Directing The Maine State Housing Authority To Engage Stakeholders In An Examination Of Fair Chance Housing Policy Options","Resolve, Directing The Maine<br>State Housing Authority To<br>Engage Stakeholders In An<br>Examination Of Fair Chance<br>Housing Policy Options",2021-06-02,130,c8b0d675-8ab2-47be-b2ff-43da7c042c9e,21/0,0/13
3028,Democratic,-0.9855072463768116,0.9855072463768116,-0.9855072463768116,0,52,68,1,0.0,0.9855072463768116,-0.9855072463768116,An Act To Enact The Maine Data Collection Protection Act,An Act To Enact The Maine Data<br>Collection Protection Act,2022-04-13,130,1c7b51c0-a8d7-4da2-a4b3-24cfd6efeaf9,68/1,0/52
